ExternalRiskEstimate,NetFractionRevolvingBurden,AverageMInFile,PercentInstallTrades,NumSatisfactoryTrades,RiskPerformance
75,3,90,16,27,1
59,48,74,33,38,0
75,41,74,44,35,1
73,25,65,39,23,1
87,10,71,38,21,1
90,2,96,42,31,1
63,53,42,15,13,1
89,2,106,29,21,1
82,12,82,42,35,1
70,3,131,35,23,1
76,13,68,34,32,1
75,47,101,63,23,1
76,31,87,55,31,1
65,83,70,30,40,0
65,9,142,50,20,0
64,34,87,35,34,0
63,57,67,34,25,0
61,89,74,13,15,0
76,17,77,40,25,1
60,56,34,15,26,0
89,10,108,20,28,1
85,4,96,19,26,1
58,68,144,36,9,0
64,57,73,33,4,1
81,25,74,11,16,1
56,43,37,57,29,0
55,100,56,65,35,0
51,94,93,38,13,0
68,59,51,53,30,0
55,66,83,29,12,0
87,3,120,14,35,1
68,64,106,46,22,0
70,35,69,33,31,0
75,60,60,44,9,1
70,50,67,53,13,0
77,41,75,20,20,1
73,35,72,42,19,0
60,37,126,11,32,1
77,16,85,38,26,0
80,36,105,41,32,1
82,2,60,23,41,0
83,38,70,50,8,0
65,66,114,32,27,0
77,17,73,53,15,0
66,55,138,25,18,0
84,4,104,58,11,0
59,70,50,41,23,0
66,80,125,27,8,0
73,50,67,49,42,0
77,19,71,31,39,1
79,10,38,20,10,1
64,58,71,38,25,0
67,68,108,43,37,0
80,16,82,60,14,0
74,5,90,18,31,0
70,83,64,37,34,1
69,66,76,27,9,0
73,42,49,36,21,0
66,33,21,23,13,1
73,45,88,46,23,1
80,7,72,24,25,1
58,69,57,53,45,0
88,1,114,33,31,1
64,42,54,52,20,1
62,68,84,32,35,0
73,40,96,8,13,0
86,22,95,15,12,0
69,25,62,35,22,1
58,62,66,30,14,0
75,39,102,13,30,0
75,48,118,41,15,0
70,31,69,20,30,0
83,2,35,36,11,0
72,73,39,28,18,0
84,4,119,68,44,1
68,95,69,44,27,0
76,42,107,31,32,1
82,0,88,44,9,0
62,120,17,50,4,1
79,20,64,38,16,0
77,69,76,35,20,0
82,3,57,28,46,0
64,69,49,44,15,1
68,75,96,37,40,1
57,100,57,29,5,0
75,56,41,67,6,0
73,68,65,38,24,1
80,6,58,60,41,1
61,10,70,21,16,0
79,15,93,18,8,0
89,7,140,11,19,1
76,16,47,22,32,1
64,9,45,21,12,0
72,30,84,23,22,0
58,45,22,8,12,0
59,49,37,59,17,0
62,29,99,26,24,0
87,9,63,26,42,0
52,41,62,32,21,0
61,0,84,58,18,1
82,36,108,39,18,1
88,2,90,32,19,1
64,61,22,25,15,0
89,4,79,58,12,1
83,12,86,47,17,1
60,26,97,25,3,1
66,18,61,33,24,1
70,58,75,28,17,1
69,58,66,60,20,0
65,60,42,31,11,0
60,61,94,27,13,0
76,76,100,45,22,1
72,49,66,25,10,0
69,97,62,58,12,0
58,44,65,33,21,0
64,51,109,42,31,1
82,3,87,27,45,1
67,30,19,6,18,1
66,94,73,59,25,0
63,52,54,50,20,0
76,40,89,27,41,0
81,3,63,28,18,0
57,40,42,18,32,1
58,95,66,44,39,0
78,23,98,55,18,0
62,26,52,65,14,0
72,6,57,56,36,1
80,0,110,31,28,1
74,1,68,26,18,0
57,47,66,40,25,0
61,92,5,50,1,0
69,41,61,30,23,0
64,120,38,75,3,1
55,96,53,42,21,0
78,42,71,14,21,1
61,30,50,9,8,0
52,25,86,67,12,1
76,12,64,42,11,0
82,10,89,32,33,1
81,1,111,55,19,0
71,23,52,33,19,1
88,0,75,11,16,1
87,2,96,10,40,1
66,112,84,29,6,0
61,39,53,36,44,0
82,18,71,29,25,0
85,1,65,26,24,0
72,17,47,11,17,0
68,44,99,28,36,1
68,68,60,42,31,0
67,74,43,36,12,0
66,1,70,50,37,0
68,44,89,36,25,1
65,51,78,56,16,0
80,10,69,27,39,0
60,4,155,25,13,1
65,2,90,44,24,1
66,93,42,25,16,0
77,0,72,56,16,0
67,44,30,29,14,0
80,22,62,26,27,1
73,43,58,40,23,1
84,17,91,36,10,1
73,81,38,50,10,0
65,39,46,16,18,0
70,93,90,39,36,0
65,70,93,33,25,1
91,1,132,25,9,1
89,2,122,33,14,1
73,21,88,39,28,0
68,73,96,26,33,1
71,34,46,14,22,0
86,6,93,22,32,1
74,28,126,29,49,1
69,30,46,50,6,0
86,7,49,24,17,1
86,7,77,40,9,1
64,34,130,9,23,0
74,16,68,30,27,0
62,73,47,48,24,0
67,27,43,60,6,0
70,49,51,36,27,0
58,82,62,50,11,0
86,1,83,37,17,1
63,37,94,50,20,0
56,69,98,25,12,0
61,40,86,14,40,1
66,61,69,59,15,0
59,20,55,25,11,0
80,20,72,17,22,0
85,1,78,27,10,1
57,86,53,18,17,1
74,28,93,26,31,0
54,28,116,14,16,0
83,10,128,38,8,1
60,22,66,35,12,0
63,74,74,43,12,1
69,48,20,43,6,0
66,37,101,29,16,1
77,51,84,70,20,0
63,72,54,37,17,0
65,72,63,64,23,0
67,36,40,30,9,0
71,82,74,56,35,0
66,0,40,71,7,0
67,79,103,35,26,0
66,46,38,36,18,0
56,104,54,55,4,0
55,56,113,22,13,0
73,30,83,27,18,0
70,64,21,38,11,0
66,33,82,17,23,0
68,22,32,25,26,1
70,0,108,66,30,1
72,58,44,15,12,0
66,89,75,46,42,0
64,65,48,61,23,1
67,70,60,25,18,0
67,39,36,44,30,1
73,47,108,21,13,0
58,0,49,71,11,0
84,1,40,67,6,0
89,10,137,25,19,1
54,65,93,33,17,0
70,39,22,11,9,1
60,92,53,40,10,0
74,31,51,47,14,1
67,30,104,21,41,1
72,2,59,35,21,0
70,94,108,30,7,0
76,25,50,45,20,1
62,78,104,44,28,0
75,56,155,16,25,1
57,53,32,46,24,0
66,100,43,64,10,0
79,65,92,40,18,1
79,13,46,25,24,1
88,7,61,13,16,1
90,0,129,29,15,1
72,0,70,10,19,1
75,56,69,50,15,0
56,5,98,46,23,1
65,58,50,57,18,0
85,11,55,22,27,1
88,4,71,33,21,0
72,7,71,38,46,1
69,29,48,7,14,0
59,36,66,31,32,0
73,8,72,37,17,1
73,17,62,60,14,1
63,73,68,19,25,0
89,1,153,29,27,1
86,30,126,43,20,1
65,31,96,57,6,0
65,78,55,56,7,0
59,46,40,69,12,0
63,58,49,6,17,0
59,59,147,42,16,0
63,88,30,30,10,0
78,0,120,25,8,0
72,69,57,35,16,1
61,47,60,60,11,0
71,49,64,19,25,1
82,19,86,38,41,1
63,18,50,22,31,0
62,92,96,30,19,0
77,43,97,50,11,1
72,45,36,57,7,0
85,3,72,41,41,1
82,45,115,33,14,1
84,7,103,21,27,1
75,10,78,31,26,0
67,23,35,31,12,1
56,65,54,54,31,0
62,43,23,21,12,0
57,85,78,31,16,0
70,38,79,38,18,0
59,66,9,25,8,0
71,73,62,29,6,0
65,0,134,57,8,0
62,17,68,19,43,0
70,34,31,29,24,0
83,0,58,5,19,0
84,17,81,35,20,1
75,12,15,20,5,0
69,70,60,55,21,0
75,70,55,36,14,1
85,1,124,35,17,1
70,28,148,35,16,0
73,35,87,50,20,1
86,12,71,33,25,1
57,43,103,14,9,0
86,3,73,32,25,1
77,58,84,12,25,1
77,4,89,29,33,1
69,9,32,53,14,0
88,7,71,45,16,1
65,45,70,35,25,0
67,87,75,41,24,0
63,68,70,75,10,0
58,101,8,50,4,0
89,7,126,18,20,1
73,34,70,29,6,1
65,76,19,17,6,0
58,75,63,54,23,0
82,36,123,38,30,1
57,26,74,73,12,0
82,18,61,47,50,1
75,44,104,18,31,0
72,39,79,67,9,0
61,63,112,44,13,0
73,38,63,19,36,0
71,55,84,13,21,1
74,41,95,56,32,1
69,5,111,26,21,0
56,101,114,0,3,0
73,22,105,24,33,0
70,38,42,67,14,0
55,93,23,62,13,0
85,6,84,29,14,1
80,7,45,50,6,0
87,5,102,56,14,1
89,8,94,16,22,1
80,23,141,30,27,1
83,13,41,32,18,0
71,48,60,11,9,1
58,88,28,67,14,0
72,55,49,27,9,1
63,70,66,8,24,1
88,7,66,25,11,1
69,1,44,10,18,1
65,92,73,59,19,0
79,70,99,67,29,0
76,32,145,19,15,1
72,34,100,29,43,1
72,41,48,30,10,1
62,27,154,11,15,1
72,33,96,50,8,1
76,25,65,34,26,0
72,55,67,19,38,0
85,28,86,41,25,1
74,90,91,18,19,0
75,0,61,62,27,1
68,0,87,75,13,0
76,12,83,28,21,1
85,1,62,21,29,1
87,47,102,9,11,0
85,12,84,33,30,1
63,58,42,44,17,0
82,9,103,50,23,1
66,51,100,39,33,0
71,24,60,46,13,0
79,27,51,45,28,1
75,47,70,13,22,1
88,0,70,41,22,1
67,53,53,39,17,0
59,61,89,24,31,0
76,62,67,21,28,0
67,42,47,45,28,0
65,7,58,39,29,0
65,91,112,53,14,0
78,56,114,30,31,0
60,60,27,63,6,0
86,0,68,29,21,1
83,5,24,50,5,1
84,0,97,32,25,0
69,32,34,44,9,1
72,48,90,14,22,0
65,75,59,0,6,0
86,5,98,10,30,1
68,65,68,31,25,0
90,1,84,57,26,1
83,14,100,26,31,0
68,43,78,22,8,1
89,0,136,36,20,1
62,75,60,32,24,0
63,86,89,3,36,0
80,19,92,17,40,0
80,51,79,41,25,1
87,13,143,27,28,1
84,44,92,40,10,1
64,50,44,38,31,0
79,7,75,58,22,1
66,39,63,40,48,1
84,19,107,29,13,0
60,92,33,43,6,0
76,13,115,21,24,1
56,9,24,29,12,0
68,85,70,60,32,1
81,3,93,50,22,1
70,52,56,37,17,1
57,81,75,41,35,0
84,10,66,28,27,1
79,56,62,21,22,1
83,28,89,13,8,0
71,55,74,16,18,0
66,99,77,25,7,0
67,0,128,50,4,0
81,79,91,41,17,1
80,19,58,19,25,1
65,59,79,26,22,1
72,0,68,73,15,1
86,1,90,46,25,1
68,14,15,31,12,0
80,35,83,23,29,1
86,4,109,40,20,1
75,3,79,29,21,0
88,0,84,17,12,1
89,6,119,43,23,1
65,63,68,39,30,0
78,90,108,40,13,1
83,28,60,42,24,1
60,26,52,33,13,0
66,37,24,33,21,1
67,26,72,13,8,0
67,81,84,33,24,0
88,2,127,17,23,1
87,7,91,29,22,0
64,84,45,10,19,0
78,24,90,12,31,0
68,6,74,28,23,1
84,5,82,47,13,0
64,54,70,53,32,0
62,67,49,26,21,0
90,6,110,9,20,0
77,2,80,11,17,1
86,5,68,30,32,1
60,36,74,30,10,0
88,1,87,29,14,1
87,3,103,48,22,1
78,32,46,44,30,0
72,50,57,42,30,1
93,0,121,50,6,1
79,7,74,13,29,0
58,62,62,34,30,0
76,17,83,22,23,1
83,9,69,40,38,1
72,93,82,35,32,1
80,9,32,36,13,1
57,102,75,17,11,0
72,39,76,20,5,0
85,1,81,38,12,1
80,13,76,54,24,0
55,100,26,67,2,0
61,84,60,43,6,1
69,51,82,33,15,1
77,9,61,12,25,1
86,7,120,34,33,1
45,62,98,25,50,1
55,100,45,58,32,0
75,76,93,62,12,0
76,59,66,33,6,1
64,86,65,50,9,0
60,42,99,13,16,0
86,31,82,20,15,1
64,92,80,17,17,0
86,0,60,7,15,0
64,63,62,23,28,1
72,90,52,27,22,0
86,7,122,14,7,1
84,8,89,17,18,1
61,0,15,71,15,0
79,5,117,23,28,1
78,2,25,15,11,1
57,84,38,27,15,0
75,14,30,24,17,1
58,86,101,29,20,0
68,50,51,24,20,0
84,22,86,35,45,0
82,32,80,21,28,1
77,11,98,39,26,1
82,32,100,35,38,1
84,14,56,17,36,1
85,4,98,39,22,0
75,58,89,71,12,0
57,59,73,29,24,1
83,6,104,18,10,1
68,50,31,42,11,0
89,12,111,30,31,1
57,81,90,16,39,0
76,17,106,13,22,0
62,62,100,16,31,0
81,34,42,25,12,1
74,42,71,38,24,1
70,48,50,46,23,1
79,25,68,9,22,1
78,11,32,60,5,0
71,95,85,34,34,0
85,7,56,25,20,1
79,25,61,36,31,1
62,3,42,73,8,1
79,4,126,45,19,1
76,82,68,41,19,0
78,42,99,14,20,1
89,0,118,33,35,1
70,20,48,16,17,0
70,16,69,42,20,0
72,59,83,43,14,0
83,13,80,33,29,1
77,24,74,48,26,1
90,0,102,36,22,1
67,30,52,25,23,0
73,70,54,69,21,1
80,73,111,50,18,1
85,0,102,29,21,1
62,92,93,35,36,1
55,0,97,50,5,1
88,7,110,42,19,1
52,52,103,33,18,1
70,61,70,51,34,0
87,14,127,27,26,1
86,5,115,13,16,1
86,13,74,41,16,1
85,4,104,43,35,1
73,20,48,30,19,1
60,30,60,21,25,1
66,54,41,32,24,1
81,30,75,35,40,1
72,62,91,18,45,1
80,1,47,55,31,1
82,2,87,21,33,1
77,53,70,31,33,1
70,69,23,44,9,1
74,66,83,57,22,1
75,37,78,35,27,1
68,52,100,38,22,1
73,49,47,33,12,0
90,1,116,20,15,1
72,85,60,22,31,0
79,40,105,29,48,1
89,8,79,53,28,1
82,2,92,34,24,1
49,89,119,11,7,1
66,65,68,43,37,1
83,18,92,22,30,1
68,1,78,19,49,1
84,5,73,0,15,1
79,22,106,53,19,1
73,38,85,26,27,0
79,43,98,30,18,1
90,4,102,0,14,1
69,69,118,17,33,1
75,44,50,50,18,1
74,19,90,33,42,0
82,18,98,28,29,1
74,23,101,67,8,1
86,4,94,56,25,1
57,63,83,47,25,0
70,62,74,13,22,1
89,3,69,28,15,1
70,46,81,32,31,0
78,9,86,41,17,1
72,47,60,7,29,0
79,30,72,9,11,1
84,9,84,36,22,1
67,0,106,31,11,1
87,3,79,20,14,1
72,7,114,34,27,1
63,42,52,29,28,1
87,3,117,42,25,1
80,34,146,18,28,0
78,20,103,38,42,1
86,37,102,50,12,1
90,11,98,63,7,1
79,6,90,29,33,1
75,9,85,50,29,1
84,3,149,20,29,1
64,74,20,60,5,0
71,31,53,33,33,1
80,6,32,33,38,0
63,85,74,13,45,0
80,32,73,53,15,0
73,28,77,47,29,1
61,57,86,56,26,0
83,18,90,18,17,1
74,3,50,33,18,0
75,79,60,43,12,1
84,1,126,31,30,1
77,15,105,38,50,1
66,45,97,32,35,1
60,33,72,31,14,0
70,20,57,16,26,0
78,7,69,44,32,1
68,92,41,25,32,1
74,26,44,33,24,1
82,1,131,20,15,1
76,29,63,9,20,0
68,50,49,50,16,0
76,11,125,10,27,1
72,9,92,17,41,1
88,8,92,50,28,1
84,18,82,33,43,1
63,57,14,50,5,0
66,34,95,38,16,0
68,61,127,15,13,1
71,11,56,30,30,0
85,4,82,26,30,0
88,6,75,24,28,0
65,47,51,50,9,1
81,8,130,35,32,1
80,32,105,26,35,1
85,1,75,32,23,1
84,3,104,30,37,1
70,15,45,13,38,1
80,41,92,20,18,1
56,21,66,23,22,0
64,30,58,4,42,0
80,30,65,65,12,1
89,6,93,44,16,1
80,34,120,6,17,1
74,37,113,38,12,1
82,24,62,30,23,1
77,31,103,33,26,1
77,75,96,50,13,1
71,31,91,47,16,1
64,92,84,41,30,0
89,6,125,39,15,1
88,2,133,16,25,1
81,25,79,30,10,1
83,5,75,45,30,1
51,21,137,42,42,0
84,6,92,53,17,1
84,47,136,33,21,1
76,93,94,64,19,1
75,10,69,14,39,1
93,0,97,33,9,1
86,11,71,33,33,1
67,83,115,32,24,0
68,31,54,20,19,1
77,0,41,50,6,0
82,0,142,37,37,1
87,4,110,42,20,1
90,4,92,35,18,1
84,5,90,22,47,1
64,36,95,47,16,0
64,34,56,36,19,1
71,18,89,5,38,1
61,51,95,10,39,0
83,11,56,20,29,1
67,16,57,19,19,1
63,23,70,55,7,1
73,31,51,38,15,1
70,5,65,36,37,0
78,40,86,29,16,1
69,24,55,36,11,1
77,0,94,41,18,1
84,0,72,44,26,0
69,90,107,48,32,1
83,0,89,23,25,0
82,23,58,24,16,1
51,94,71,47,30,0
74,41,80,21,39,1
75,39,130,25,27,1
90,5,123,42,23,1
89,4,78,20,10,1
69,0,123,17,7,0
88,0,87,25,36,1
86,4,53,29,17,1
78,56,82,38,15,1
82,25,84,47,15,1
72,25,64,33,24,1
71,1,64,24,42,1
69,45,53,31,24,0
81,17,74,64,32,1
79,10,108,72,43,1
76,3,102,35,36,1
63,55,71,28,39,1
63,36,73,56,23,0
69,8,95,26,41,0
85,7,89,24,33,1
66,14,125,23,10,0
57,54,98,58,42,0
64,21,38,28,40,0
73,5,87,30,45,1
79,19,86,79,15,1
83,26,78,29,17,1
86,7,75,36,24,1
81,0,96,8,21,1
85,0,99,25,24,1
88,0,65,14,20,1
84,12,65,47,30,1
72,14,11,0,1,1
88,6,127,34,37,1
88,6,60,41,16,1
80,21,88,27,44,1
65,64,28,21,13,0
74,5,14,50,5,1
76,92,63,56,9,1
74,0,60,28,44,1
87,19,90,40,27,1
89,14,88,19,21,1
86,5,79,37,25,1
65,48,96,28,34,1
84,1,49,21,14,1
63,36,76,17,12,0
87,4,83,62,21,1
86,28,98,36,28,1
78,36,107,33,25,1
84,0,74,53,17,1
73,19,62,37,17,0
72,22,102,19,26,1
83,31,115,45,19,1
73,16,149,33,5,1
61,73,66,39,47,0
90,1,117,20,20,1
82,28,100,22,26,1
63,18,68,27,35,0
63,67,64,10,20,0
64,55,9,29,7,0
80,0,103,46,27,0
57,60,124,25,40,0
88,1,106,36,22,0
65,81,93,36,40,0
63,59,78,47,16,0
55,33,46,31,23,0
84,0,73,41,25,0
68,6,54,13,14,0
91,0,88,35,26,0
57,64,66,25,36,0
61,98,53,69,16,0
75,16,98,39,22,0
72,24,128,56,17,1
68,66,37,25,16,1
63,16,56,38,5,0
70,29,79,21,38,0
71,41,31,20,20,1
70,15,45,35,17,1
79,21,71,0,2,0
79,12,63,42,12,0
65,30,147,7,11,0
73,25,80,24,23,1
68,61,109,17,24,1
86,0,56,42,12,1
73,30,73,20,43,1
50,89,19,29,16,0
89,0,75,25,8,1
77,12,98,16,45,1
73,54,42,14,7,0
66,78,89,41,27,0
78,15,73,21,39,0
61,86,65,29,21,1
61,41,61,12,25,0
73,62,47,7,14,0
65,14,92,20,6,0
58,98,6,40,3,1
83,14,84,0,6,0
88,20,140,20,5,1
61,76,59,46,19,1
71,77,142,0,19,0
75,20,74,59,46,1
71,83,116,28,15,1
55,46,83,22,20,0
81,0,35,30,7,1
55,79,73,55,26,0
57,98,83,29,13,0
59,58,119,40,4,0
73,20,132,26,21,1
88,2,105,23,22,1
64,107,62,29,21,0
66,13,45,33,7,0
81,0,86,55,21,1
70,38,48,13,7,0
63,94,58,33,6,0
83,16,92,68,33,1
76,21,110,18,38,1
58,61,142,67,31,0
77,10,67,12,16,0
69,14,93,30,30,1
70,6,77,29,41,1
67,51,63,63,24,1
84,32,84,14,14,1
62,93,79,21,12,1
84,0,81,7,13,1
77,42,36,25,7,1
85,5,96,42,19,1
88,9,90,33,17,1
78,46,72,27,40,1
71,24,131,19,16,0
67,48,84,27,44,1
69,61,88,37,29,1
70,68,103,79,24,0
80,14,96,41,28,1
70,67,93,15,20,1
87,9,96,24,33,1
86,9,82,21,13,1
67,35,38,36,11,0
79,48,50,46,13,1
69,46,107,22,44,0
61,56,29,75,4,0
66,35,79,63,19,0
71,19,130,15,26,0
82,2,106,22,23,1
91,20,143,0,8,0
80,49,94,37,17,1
66,0,82,22,8,1
76,42,50,27,15,1
64,60,5,67,2,0
64,51,86,9,42,0
56,118,39,71,6,0
85,14,120,24,20,1
84,8,75,31,16,1
76,0,132,31,15,0
57,93,29,43,7,0
63,91,85,67,15,0
64,83,49,30,10,1
75,19,93,26,18,1
64,88,78,25,43,0
75,5,60,44,7,1
65,46,40,20,20,0
78,8,70,24,29,0
80,9,78,11,19,1
79,30,106,7,14,1
63,91,76,23,22,0
66,15,117,23,9,0
84,16,72,35,23,1
61,88,56,5,20,0
81,34,92,30,20,1
72,39,66,27,21,0
76,38,119,18,43,1
64,92,83,44,9,0
86,17,112,41,20,0
65,51,59,50,44,0
72,37,104,18,38,1
68,78,91,32,34,1
80,13,72,39,22,1
72,45,48,47,31,0
60,49,19,45,11,0
84,1,93,33,15,1
72,3,106,0,9,0
73,59,61,14,14,0
80,36,94,24,17,1
65,8,74,48,18,0
66,7,52,15,22,0
76,22,80,20,48,1
70,31,71,32,18,1
69,85,57,55,28,1
57,36,48,32,25,0
72,4,16,67,3,0
60,58,19,20,9,0
89,3,95,38,25,1
83,4,57,43,13,1
81,12,31,4,25,0
88,9,133,60,4,1
82,0,85,0,1,0
77,33,77,42,29,0
72,11,128,50,16,1
54,44,107,15,5,0
66,48,72,24,17,0
84,3,119,16,19,1
55,67,81,44,35,0
66,18,108,10,10,0
67,89,32,40,10,0
88,2,133,10,10,1
82,8,67,27,26,1
85,4,84,12,17,0
61,24,39,47,29,0
82,7,75,38,36,1
84,44,91,27,26,0
86,9,95,21,19,1
57,0,155,40,3,0
74,72,94,57,28,0
67,67,71,36,14,0
64,24,109,33,15,0
56,0,70,58,7,0
57,98,37,50,15,0
70,51,80,10,10,0
65,45,113,44,34,0
56,97,26,50,3,0
75,62,46,24,17,0
81,13,81,10,20,1
72,89,105,29,22,0
73,51,144,39,18,1
66,46,131,36,12,1
70,39,45,38,15,0
70,71,66,52,31,0
67,83,99,5,20,0
56,64,65,27,38,0
68,31,80,33,32,0
66,71,102,24,16,0
66,86,78,36,11,0
72,16,96,25,28,1
77,44,97,4,23,1
72,12,52,22,33,0
71,44,63,23,46,0
66,67,102,43,28,0
69,63,73,29,31,0
63,87,46,39,24,0
77,7,67,23,12,1
69,18,33,55,11,0
72,34,48,32,21,0
57,38,68,14,24,0
78,45,116,19,14,0
67,68,123,9,21,0
72,20,25,14,14,0
76,12,91,23,21,0
91,4,153,33,12,1
79,29,97,39,28,0
75,6,97,49,35,1
66,94,26,70,10,0
63,63,38,60,4,0
68,85,24,29,7,0
75,20,70,28,32,1
82,0,67,32,18,1
73,65,102,15,34,0
59,64,54,47,16,0
60,72,109,38,32,0
82,21,74,38,13,1
59,66,73,32,28,0
83,26,95,37,18,1
64,48,118,56,17,0
66,66,91,30,18,0
81,0,78,42,25,1
65,65,30,71,14,0
58,69,103,49,35,0
54,64,101,51,42,0
66,66,87,14,21,0
78,0,100,19,24,0
87,0,83,25,28,1
89,8,94,27,15,0
81,23,84,9,23,1
74,52,120,32,34,0
66,78,46,20,20,1
66,81,117,11,36,0
70,99,56,27,11,0
81,4,80,34,28,1
73,17,40,10,18,0
85,0,77,20,14,0
58,31,106,37,24,0
82,16,40,30,9,0
76,6,58,15,45,0
63,11,67,48,22,0
70,49,90,13,31,1
82,5,61,24,24,1
72,52,55,48,25,0
73,39,50,29,22,1
79,81,150,33,6,0
75,25,73,16,37,0
81,6,41,42,12,0
66,81,73,54,25,0
59,52,20,24,16,0
60,54,76,20,28,1
89,17,116,17,6,1
73,28,87,15,20,1
81,16,87,5,18,1
65,50,40,47,15,1
84,1,68,24,23,0
79,0,70,29,17,1
72,6,147,38,7,0
64,36,123,9,10,0
58,25,54,23,39,0
68,53,96,22,35,1
65,51,46,33,24,0
85,26,95,21,12,1
78,12,81,15,24,1
93,1,138,20,10,1
69,80,63,40,13,0
74,58,72,19,15,1
91,10,133,20,10,0
65,0,16,33,5,0
67,99,61,43,19,0
86,7,95,0,12,0
78,23,32,22,8,0
82,8,106,22,23,1
55,94,48,67,5,0
69,35,81,26,36,0
86,5,81,42,12,0
